Fetching target lists from NASA Exoplanet Archive...
  Archive has 350 confirmed, 764 FP
  Selected 50 confirmed, 50 FP
  [  1/100] CONF K00254.01    (depth=  36912 ppm) ... OK  (4s, p_dip=-0.0360, s_dip=-0.0360)
  [  2/100] CONF K01450.01    (depth=  19837 ppm) ... OK  (3s, p_dip=-0.0185, s_dip=-0.0185)
  [  3/100] CONF K00186.01    (depth=  16451 ppm) ... OK  (3s, p_dip=-0.0163, s_dip=-0.0163)
  [  4/100] CONF K00188.01    (depth=  14431 ppm) ... OK  (3s, p_dip=-0.0141, s_dip=-0.0141)
  [  5/100] CONF K00127.01    (depth=  11382 ppm) ... OK  (3s, p_dip=-0.0113, s_dip=-0.0113)
  [  6/100] CONF K00202.01    (depth=  10184 ppm) ... OK  (3s, p_dip=-0.0101, s_dip=-0.0101)
  [  7/100] CONF K00012.01    (depth=   9065 ppm) ... OK  (3s, p_dip=-0.0089, s_dip=-0.0089)
  [  8/100] CONF K00908.01    (depth=   7913 ppm) ... OK  (3s, p_dip=-0.0078, s_dip=-0.0078)
  [  9/100] CONF K00929.01    (depth=   7163 ppm) ... OK  (2s, p_dip=-0.0071, s_dip=-0.0071)
  [ 10/100] CONF K01456.01    (depth=   6331 ppm) ... OK  (2s, p_dip=-0.0059, s_dip=-0.0059)
  [ 11/100] CONF K01804.01    (depth=   5569 ppm) ... OK  (2s, p_dip=-0.0055, s_dip=-0.0055)
  [ 12/100] CONF K00680.01    (depth=   4510 ppm) ... OK  (2s, p_dip=-0.0045, s_dip=-0.0045)
  [ 13/100] CONF K00428.01    (depth=   3754 ppm) ... OK  (2s, p_dip=-0.0038, s_dip=-0.0038)
  [ 14/100] CONF K00219.01    (depth=   3120 ppm) ... OK  (3s, p_dip=-0.0031, s_dip=-0.0031)
  [ 15/100] CONF K00433.01    (depth=   2908 ppm) ... OK  (3s, p_dip=-0.0029, s_dip=-0.0029)
  [ 16/100] CONF K02842.01    (depth=   2755 ppm) ... OK  (2s, p_dip=-0.0026, s_dip=-0.0026)
