Fetching target lists from NASA Exoplanet Archive...
  Archive has 350 confirmed, 764 FP
  Selected 250 confirmed, 250 FP
  [  1/500] CONF K00254.01    (depth=  36912 ppm) ... OK  (3s, p_dip=-0.0360, s_dip=-0.0360, oe_amp=0.0009)
  [  2/500] CONF K01176.01    (depth=  30222 ppm) ... OK  (9s, p_dip=-0.0301, s_dip=-0.0301, oe_amp=0.0007)
  [  3/500] CONF K00846.01    (depth=  25391 ppm) ... OK  (13s, p_dip=-0.0068, s_dip=-0.0068, oe_amp=0.0009)
  [  4/500] CONF K00830.01    (depth=  22335 ppm) ... OK  (10s, p_dip=-0.0220, s_dip=-0.0220, oe_amp=0.0005)
  [  5/500] CONF K00217.01    (depth=  21340 ppm) ... OK  (11s, p_dip=-0.0210, s_dip=-0.0210, oe_amp=0.0006)
  [  6/500] CONF K01450.01    (depth=  19837 ppm) ... OK  (4s, p_dip=-0.0185, s_dip=-0.0185, oe_amp=0.0003)
  [  7/500] CONF K00183.01    (depth=  18136 ppm) ... OK  (10s, p_dip=-0.0180, s_dip=-0.0180, oe_amp=0.0003)
  [  8/500] CONF K00913.01    (depth=  17859 ppm) ... OK  (10s, p_dip=-0.0178, s_dip=-0.0178, oe_amp=0.0005)
  [  9/500] CONF K00931.01    (depth=  16653 ppm) ... OK  (10s, p_dip=-0.0164, s_dip=-0.0164, oe_amp=0.0005)
  [ 10/500] CONF K02704.03    (depth=  16536 ppm) ... OK  (5s, p_dip=-0.0014, s_dip=-0.0014, oe_amp=0.0007)
  [ 11/500] CONF K00186.01    (depth=  16451 ppm) ... OK  (3s, p_dip=-0.0163, s_dip=-0.0163, oe_amp=0.0001)
  [ 12/500] CONF K00020.01    (depth=  16388 ppm) ... OK  (2s, p_dip=-0.0164, s_dip=-0.0164, oe_amp=0.0002)
  [ 13/500] CONF K00889.01    (depth=  16053 ppm) ... OK  (9s, p_dip=-0.0135, s_dip=-0.0135, oe_amp=0.0004)
  [ 14/500] CONF K00824.01    (depth=  15337 ppm) ... OK  (6s, p_dip=-0.0123, s_dip=-0.0123, oe_amp=0.0005)
  [ 15/500] CONF K00809.01    (depth=  15044 ppm) ... OK  (8s, p_dip=-0.0150, s_dip=-0.0150, oe_amp=0.0002)
  [ 16/500] CONF K00188.01    (depth=  14431 ppm) ... OK  (4s, p_dip=-0.0141, s_dip=-0.0141, oe_amp=0.0002)
  [ 17/500] CONF K00195.01    (depth=  14319 ppm) ... OK  (10s, p_dip=-0.0141, s_dip=-0.0141, oe_amp=0.0002)
  [ 18/500] CONF K00897.01    (depth=  14281 ppm) ... OK  (8s, p_dip=-0.0142, s_dip=-0.0142, oe_amp=0.0004)
  [ 19/500] CONF K04928.01    (depth=  13553 ppm) ... OK  (2s, p_dip=-0.0132, s_dip=-0.0132, oe_amp=0.0006)
  [ 20/500] CONF K01320.01    (depth=  13356 ppm) ... OK  (5s, p_dip=-0.0126, s_dip=-0.0126, oe_amp=0.0004)
  [ 21/500] CONF K00127.01    (depth=  11382 ppm) ... OK  (2s, p_dip=-0.0113, s_dip=-0.0113, oe_amp=0.0001)
  [ 22/500] CONF K00128.01    (depth=  11145 ppm) ... OK  (9s, p_dip=-0.0110, s_dip=-0.0110, oe_amp=0.0004)
  [ 23/500] CONF K00840.01    (depth=  10859 ppm) ... OK  (8s, p_dip=-0.0107, s_dip=-0.0107, oe_amp=0.0003)
  [ 24/500] CONF K00017.01    (depth=  10559 ppm) ... OK  (2s, p_dip=-0.0105, s_dip=-0.0105, oe_amp=0.0001)
  [ 25/500] CONF K00197.01    (depth=  10458 ppm) ... OK  (9s, p_dip=-0.0092, s_dip=-0.0092, oe_amp=0.0002)
  [ 26/500] CONF K00202.01    (depth=  10184 ppm) ... OK  (2s, p_dip=-0.0101, s_dip=-0.0101, oe_amp=0.0003)
