kepoi_name,ss,snr
K00752.01,0,35.8
K00752.02,0,25.8
K00753.01,0,76.3
K00754.01,1,505.6
K00755.01,0,40.9
K00756.01,0,66.5
K00756.02,0,40.2
K00756.03,0,15.0
K00114.01,1,47.7
K00757.01,0,161.9
K00001.01,0,4304.3
K00002.01,1,5945.9
K00010.01,0,1741.5
K00112.02,0,50.6
K00742.01,1,622.1
K00743.01,1,214.7
K00744.01,1,2317.0
K00745.01,1,303.4
K00746.01,0,87.2
K00747.01,0,65.4
K00748.01,1,48.2
K00749.01,0,60.6
K00749.02,0,28.9
K00749.03,0,14.1
K00113.01,1,994.0
K00750.01,0,34.3
K00751.01,0,28.2
K00769.01,0,61.8
K00770.01,0,181.1
K00771.01,1,642.7
K00772.01,1,85.3
K00773.01,0,34.7
K00757.02,0,51.2
K00757.03,0,47.1
K00758.01,0,33.2
K00759.01,0,80.0
K00759.02,0,19.1
K00760.01,0,696.5
K00761.01,1,48.3
K00762.01,0,29.5
K00763.01,1,513.4
K00115.01,0,166.7
K00764.01,0,141.1
K00765.01,0,43.4
K00766.01,0,128.6
K00767.01,0,1406.8
K00768.01,1,236.1
K00786.01,0,35.6
K00787.01,0,71.1
K00787.02,0,37.9
K00788.01,0,48.2
K00116.01,0,88.4
K00115.02,0,47.1
K00774.01,1,835.6
K00775.01,0,28.9
K00775.02,0,38.7
K00775.03,0,21.7
K00776.01,0,345.2
K00777.01,0,36.9
K00778.01,0,38.9
K00779.01,1,745.2
K00780.01,0,82.4
K00780.02,0,13.7
K00115.03,0,8.7
K00781.01,0,71.0
K00782.01,0,221.1
K00783.01,0,312.1
K00784.01,0,37.1
K00784.02,0,30.3
K00785.01,0,35.8
K00116.02,0,83.7
K00798.01,1,39.0
K00799.01,0,103.6
K00800.01,0,64.5
K00800.02,0,51.5
K00789.01,0,11.2
K00790.01,0,47.6
K00790.02,0,20.1
K00791.01,0,277.2
K00792.01,1,112.6
K00793.01,1,38.2
K00794.01,0,38.9
K00795.01,0,50.8
K00796.01,1,299.7
K00797.01,0,183.6
K00812.02,0,35.2
K00812.03,0,26.0
K00116.04,0,17.1
K00812.04,0,15.9
K00813.01,0,370.8
K00814.01,0,32.1
K00801.01,0,799.7
K00802.01,0,340.5
K00803.01,0,14.2
K00804.01,0,53.9
K00805.01,1,636.8
K00806.01,0,138.8
K00116.03,0,14.4
K00806.02,0,347.2
K00806.03,0,11.6
K00807.01,0,38.8
K00808.01,0,48.5
K00809.01,0,1009.3
K00810.01,0,70.6
K00811.01,0,78.5
K00812.01,0,71.6
K00828.01,1,64.9
K00829.01,0,46.1
K00117.02,0,50.6
K00829.02,0,28.5
K00829.03,0,39.7
K00830.01,0,1996.7
K00815.01,0,76.8
K00816.01,0,113.2
K00817.01,0,27.5
K00817.02,0,17.9
K00818.01,0,56.4
K00819.01,1,1300.0
K00820.01,0,296.9
K00011.01,1,138.2
K00117.01,0,107.4
K00821.01,0,37.8
K00822.01,1,389.0
K00823.01,0,89.6
K00824.01,0,166.0
K00825.01,0,39.3
